original_product_url,product_name,size,color_image,colors,description,gender,images,original_price,sale_price,special_offer,brand,website_name,website_domain
https://www.pacsun.com/playboy/full-zipper-hoodie-0751250500217.html?country=IN,Playboy Full Zipper Hoodie,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE/YELLOW'],"Full zipper front closure Long sleeves Drawcord hood Logo graphic on back Front pockets Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[],"INR 3,682.00",,,Playboy,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/black-butterfly-hoodie-0751454500341.html?country=IN,John Galt Black Butterfly Hoodie,['1SZ   SIZE'],None,['BLACK'],Drawcord hood Long sleeves Butterfly embroidery Kangaroo pocket Machine washable,women,[],"INR 2,867.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/bella-cropped-pullover-sweatshirt-0751484260039.html?country=IN,LA Hearts Bella Cropped Pullover Sweatshirt,"['MED   SIZE', 'LRG   SIZE', 'XS    SIZE', 'SML   SIZE']",None,['HEATHER GREY'],"Crew neckline Long sleeves Front graphic Cropped length Fleece lining Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[],"INR 2,689.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/brooklyn-hoodie-0751454500339.html?country=IN,John Galt Brooklyn Hoodie,['1SZ   SIZE'],None,['BLACK'],Custom Brooklyn graphics Kangaroo pocket Long sleeves Adjustable drawstring hood Heavyweight fabrication Machine washable,women,[],"INR 2,938.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/arden-full-zip-hoodie-0751454500327.html?country=IN,John Galt Arden Full Zip Hoodie,['1SZ   SIZE'],None,['LIGHT GRAY'],Full-zip sweater Fixed hood Cropped fit Cotton fabrication,women,[],"INR 2,856.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/smocked-one-shoulder-tank-top-0731461580453.html?country=IN,LA Hearts Smocked One Shoulder Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Smocked bodice Asymmetrical neckline Single shoulder strap Cropped length Model is wearing a small 100% rayon Machine washable,women,[],"INR 2,036.00","Now INR 1,629.00",Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/carla-full-zip-hoodie-0751454500338.html?country=IN,John Galt Carla Full-Zip Hoodie,['1SZ   SIZE'],None,['LIGHT GRAY'],Full-zip sweater Drawstring adjustable hood Hand pockets Cotton fabrication,women,[],"INR 3,427.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/lottie-moss/lace-bralette-top-0731501980065.html?country=IN,Lottie Moss Lace Bralette Top,"['XS    SIZE', 'SML   SIZE']",None,['HOT PINK'],Lace fabric Scalloped trim V-neckline Back zipper closure Cropped length Model is wearing a small,women,[],"INR 2,199.00",,Take 17% Off With Code 17OFF,Lottie Moss,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/v-neck-babydoll-tank-top-0731461580446.html?country=IN,LA Hearts V-Neck Babydoll Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],"Woven fabric Fixed straps V-neckline Ruffled hem Flowy fit Model is wearing an xsmall 84% rayon, 16% linen Machine washable",women,[],"INR 2,444.00","Now INR 1,955.00",Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/lace-tie-front-cami-top-0731461580462.html?country=IN,LA Hearts Lace Tie Front Cami Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Woven fabric Lace trim Adjustable straps Tie front Cropped length Model is wearing an xsmall 100% rayon Machine washable,women,[],"INR 2,199.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/kendall-kylie/daisy-trim-tank-top-0731461580449.html?country=IN,Kendall & Kylie Daisy Trim Tank Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],Fixed straps V-neckline Crochet daisy trim Button-down front closure Smocked back detail Cropped length Model is wearing an xsmall 100% cotton Machine washable,women,[],"INR 2,362.00",,Take 17% Off With Code 17OFF,Kendall & Kylie,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/dazzle-high-waisted-denim-festival-shorts-0829103680371.html?country=IN,PacSun Dazzle High Waisted Denim Festival Shorts,"['22', '23', '24', '25', '26', '27', '28', '29', '31', '32']",None,['MEDIUM INDIGO'],"High-rise 10.5"" rise 2.5"" inseam",women,[],"INR 3,260.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/lauren-blue-paperbag-denim-mom-shorts-0829436750077.html?country=IN,PacSun Lauren Blue Paperbag Denim Mom Shorts,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['MEDIUM INDIGO'],"High-rise 11"" rise 2.5"" inseam",women,[],"INR 3,831.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/smocked-bodice-cami-top-0731461580464.html?country=IN,LA Hearts Smocked Bodice Cami Top,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['WHITE'],Thin fixed straps Scoop neckline Smocked bodice Cropped length Model is wearing an xsmall Self: 100% rayon; Lining: 100% cotton Machine washable,women,[],"INR 2,199.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/balboa-blue-high-waisted-denim-festival-shorts-0829103680364.html?country=IN,PacSun Balboa Blue High Waisted Denim Festival Shorts,"['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",None,['MEDIUM INDIGO'],"High-rise 10.5"" rise 2.5"" inseam",women,[],"INR 3,668.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/aquarius-denim-mom-shorts-0829103680379.html?country=IN,PacSun Aquarius Denim Mom Shorts,"['24', '25', '26', '27']",None,['MEDIUM INDIGO'],Mom shorts High-rise 11'' rise 2.5'' inseam,women,[],"INR 3,668.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/blush-corduroy-paperbag-mom-shorts-0829436750072.html?country=IN,PacSun Blush Corduroy Paperbag Mom Shorts,"['SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLUSH'],"High-rise 11"" rise 2.5"" inseam",women,[],"INR 4,076.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/devon-high-waisted-denim-festival-shorts-0829103680369.html?country=IN,PacSun Devon High Waisted Denim Festival Shorts,"['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",None,['MEDIUM INDIGO'],"High-rise 10.5"" rise 2.5"" inseam",women,[],"INR 3,668.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun/rocky-blue-denim-mom-shorts-0829445380308.html?country=IN,PacSun Rocky Blue Denim Mom Shorts,"['22', '23', '24', '25', '26', '27', '28', '29', '30']",None,['MEDIUM INDIGO'],"Mom shorts High-rise 11"" rise 2.5"" inseam",women,[],"INR 3,831.00",,Take 17% Off With Code 17OFF,PacSun,pacsun,www.pacsun.com
